phase,run_name,world_count,route_length,budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
capacity_pressure,exp13_full_context_separated_memory,32,1,0.25,0.27291666666666664,0.00410207916719358,5,0.2723307291666667,0.003210962316577537,5,-0.0005859375,0.004411978290515577,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.7719912003024727,0.0,5,0.25,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,1,0.5,0.5153645833333333,0.003524054323626145,5,0.5143880208333333,0.002775530435845284,5,-0.0009765625000000221,0.0032470601144629152,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.274124925557506,0.0,5,0.5,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,1,0.75,0.7578125,0.0029477165163207795,5,0.7570963541666667,0.0011134525635733904,5,-0.0007161458333333481,0.0024294411662819384,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.6311952662028382,0.0,5,0.75,0.0,5,2304.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,1,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,1,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,4,0.25,0.2734375,0.0031894397692489294,5,0.2723307291666667,0.003210962316577537,5,-0.001106770833333348,0.004929249669652843,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.7719912003024727,0.0,5,0.25,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,4,0.5,0.5151041666666666,0.0022269051271467575,5,0.5143880208333333,0.002775530435845284,5,-0.0007161458333333037,0.00329886095316619,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.274124925557506,0.0,5,0.5,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,4,0.75,0.758984375,0.001920297031738653,5,0.7570963541666667,0.0011134525635733904,5,-0.0018880208333333704,0.0025569449071166012,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.6311952662028382,0.0,5,0.75,0.0,5,2304.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,4,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,4,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,32,8,0.25,0.27473958333333337,0.003879028414001647,5,0.2723307291666667,0.003210962316577537,5,-0.002408854166666674,0.0048315450933802215,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.7719912003024727,0.0,5,0.25,0.0,5,768.0,0.0,5,,,0,,,0
